"short","same_netdebt","r","health_inflation","cht_increment","labour_prod","oldshare","years","pop_scenario"
"NS",0.00853842047581022,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"PE",0.0169195317116723,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NL",0.0727573206201833,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"PROV",0.0136004760956107,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"FED",-0.0241275119363546,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"BC",0.00564032627131773,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"AB",0.0401986997925262,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"SK",0.0240016229866299,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"MB",0.00470155165134604,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"ON",0.0172178479077711,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0220505040464764,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NB",0.0208439652131311,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NS",0.00882883832804176,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"PE",0.0149347737743566,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"NL",0.0671879878461108,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0123477714436455,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"FED",-0.0122475194285045,0.03,0.0025,0,0.01,0,25,"Projection scenario M2: medium-growth"
"BC",0.0031318050171862,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"AB",0.0351521645557772,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"SK",0.0195648173395141,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"MB",-0.0018403665182982,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"ON",0.0127643497491529,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"QC",-0.0280294139149753,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NB",0.0103023690891975,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NS",0.00275197662443811,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"PE",0.0101433734958886,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"NL",0.0644986797814125,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"PROV",0.00831915310310873,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0225117931188437,0.03,0.0025,0,0.01,0,50,"Projection scenario M2: medium-growth"
"BC",-0.0031925746102899,0.03,0.0025,0,0.01,0,75,"Projection scenario M2: medium-growth"
"AB",0.0275398536942206,0.03,0.0025,0,0.01,0,75,"Projection scenario M2: medium-growth"
"SK",0.0131797599272748,0.03,0.0025,0,0.01,0,75,"Projection scenario M2: medium-growth"
"MB",-0.0120353224129298,0.03,0.0025,0,0.01,0,75,"Projection scenario M2: medium-growth"
"ON",0.0047335997577344,0.03,0.0025,0,0.01,0,75,"Projection scenario M2: medium-growth"
"QC",-0.0387646528137168,0.03,0.0025,0,0.01,0,75,"Projection scenario M2: medium-growth"
"NB",-0.00348017633896441,0.03,0.0025,0,0.01,0,75,"Projection scenario M2: medium-growth"
"NS",-0.00828739310992918,0.03,0.0025,0,0.01,0,75,"Projection scenario M2: medium-growth"
"PE",-0.00256221127106085,0.03,0.0025,0,0.01,0,75,"Projection scenario M2: medium-growth"
"NL",0.0546906038722667,0.03,0.0025,0,0.01,0,75,"Projection scenario M2: medium-growth"
